sr_number,sr_type,sr_short_code,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,legacy_sr_number,parent_sr_number,community_area,ward,electrical_district,electricity_grid,police_sector,police_district,police_beat,precinct,sanitation_division_days,x_coordinate,y_coordinate,latitude.x,longitude.x,location,bldg_id,latitude.y,longitude.y,complaint_violation,bldg_sq_fo,shape_area,stories,year_built,bldg_condi,graffiti_address,one_light_address,pot_holes_address,all_lights_address,tree_trims_address,tree_debris_address,alley_lights_address,garbage_carts_address,sanitation_code_address,rodent_baiting_address,abandoned_vehicles_address,abandoned_buildings_address,graffiti_community,one_light_community,pot_holes_community,all_lights_community,tree_trims_community,tree_debris_community,alley_lights_community,garbage_carts_community,sanitation_code_community,rodent_baiting_community,abandoned_vehicles_community,abandoned_buildings_community,hardship_index,complaint_violations,permit_violations,periodic_violations,registration_violations,logistic_probs,logistic_preds,lda_probs,lda_preds,gbm_probs,gbm_preds,log_rank,lda_rank,gbm_rank
sr19-00042421,building violation,bba,,open,phone call,2019-01-09,01/09/2019 07:54:35 pm,,3141 n sheffield ave,NA,NA,60657,3141,n,sheffield,ave,FALSE,FALSE,NA,,6,44,4,n015,3,19,1933,20,wednesday,1169150.317,1921201.637,41.93930223,-87.65373749,"(41.939302227980775, -87.65373748959084)",211168,41.93926493,-87.65393673,0,0.436237736,2.24307272,-1.51537522,-28.18050097,unknown,3.496507561,1.386294361,0,0,0,0,1.098612289,0,0,0.693147181,0.693147181,0,2.548883428,0.524308153,0.993268512,0.228870606,0.636179079,0.098728497,0.189870713,0.503899989,0.308259429,1.360188054,0.256544503,0.009936959,-43.89042715,0,1.386294361,0,0,0.029184352,1,0.011152575,0,0.033030125,1,0.753467311,0.647390559,0.807618009
sr19-00042466,no building permit and construction violation,bbd,,completed,phone call,2019-01-09,01/15/2019 02:01:30 pm,01/15/2019 02:01:27 pm,1165 n milwaukee ave,NA,NA,60642,1165,n,milwaukee,ave,FALSE,FALSE,NA,,24,27,5,m020,1,12,1213,13,friday,1166056.85,1908003.188,41.90315163,-87.66548456,"(41.90315162995256, -87.66548456066357)",322562,41.90300504,-87.66570654,1,0.342050521,1.968777287,26.48462478,39.81949903,unknown,2.302585093,1.098612289,2.302585093,1.098612289,0,0,0,0,1.386294361,1.791759469,0,0,4.069444444,0.684064327,0.947880117,0.320833333,0.534868421,0.105409357,0.236695906,0.598903509,0.327923977,0.799122807,0.372076023,0.027266082,-38.89042715,2.772588722,0,3.688879454,0,0.530769892,1,0.998575698,1,0.327758063,1,0.999430856,0.999804746,0.998606221
sr19-00042485,building violation,bba,,open,phone call,2019-01-09,01/09/2019 08:01:32 pm,,1165 n milwaukee ave,NA,NA,60642,1165,n,milwaukee,ave,FALSE,FALSE,NA,,24,27,5,m020,1,12,1213,13,friday,1166056.85,1908003.188,41.90315163,-87.66548456,"(41.90315162995256, -87.66548456066357)",322562,41.90300504,-87.66570654,1,0.342050521,1.968777287,26.48462478,39.81949903,unknown,2.302585093,1.098612289,2.302585093,1.098612289,0,0,0,0,1.386294361,1.791759469,0,0,4.069444444,0.684064327,0.947880117,0.320833333,0.534868421,0.105409357,0.236695906,0.598903509,0.327923977,0.799122807,0.372076023,0.027266082,-38.89042715,2.772588722,0,3.688879454,0,0.530769892,1,0.998575698,1,0.327758063,1,0.999430856,0.999804746,0.998606221
sr19-00042514,building violation,bba,,completed,phone call,2019-01-09,01/23/2019 05:03:32 pm,01/23/2019 05:03:32 pm,88 w schiller st,NA,NA,60610,88,w,schiller,st,TRUE,FALSE,NA,sr18-00219600,8,2,5,p019,2,18,1824,37,wednesday,1175383.436,1909875.944,41.90808621,-87.63117012,"(41.90808620704528, -87.63117011632593)",311079,41.90794506,-87.63153722,0,0.873948844,1.588053325,27.48462478,42.81949903,sound,2.079441542,0.693147181,1.386294361,0.693147181,0,0,0,0,0,1.098612289,0.693147181,0,3.571380697,1.386729223,3.095844504,0.782171582,0.432975871,0.059316354,0.161193029,0.293230563,0.422922252,1.201407507,0.292225201,0.014075067,-47.89042715,0,0,1.609437912,0,0.056355885,1,0.41402667,1,0.03450658,1,0.901953575,0.973615828,0.820372851
sr18-00247842,building violation,bba,,completed,phone call,2018-12-29,01/16/2019 10:54:08 pm,01/09/2019 08:02:45 pm,8121 s colfax ave,NA,NA,60617,8121,s,colfax,ave,FALSE,FALSE,NA,,46,7,12,w041,2,4,422,24,friday,1195011.593,1851516.24,41.747473,-87.56099,"(41.747473, -87.56099)",625144,41.74750774,-87.56116627,0,1.517035789,0.565840465,1.48462478,-2.180500972,sound,0,0,0,0,0.693147181,0,0,0,0,0,0,0,0.62284513,1.062368605,0.601121233,0.652838122,0.696706377,0.358934828,0.448633497,0.618640505,0.308339173,0.184583041,0.200280308,0.240504555,26.10957285,0,0,0,0,0.033922849,1,0.016896638,1,0.040570999,1,0.801665888,0.762210105,0.848173651
sr19-00042610,building violation,bba,,completed,phone call,2019-01-09,01/16/2019 03:35:38 pm,01/16/2019 03:35:36 pm,2061 n campbell ave,NA,NA,60647,2061,n,campbell,ave,FALSE,FALSE,NA,,22,1,5,j017,3,14,1431,9,thursday,1159634.751,1913869.643,41.91938441,-87.68891233,"(41.91938440932639, -87.68891232538003)",279523,41.91938345,-87.68907394,1,0.220291337,2.283219706,10.48462478,54.81949903,sound,0.693147181,0,0,0,0.693147181,0.693147181,0,0,0.693147181,0.693147181,0,0,4.433376233,0.603432003,0.998198198,0.324066924,0.509309309,0.159330759,0.244530245,0.642728443,0.342857143,1.062548263,0.415444015,0.032175032,-25.89042715,0,0,3.218875825,0,0.065802441,1,0.420249687,1,0.056893873,1,0.918687231,0.974191203,0.894162123
sr19-00042731,building violation,bba,,open,phone call,2019-01-09,01/09/2019 08:40:53 pm,,4455 w west end ave,NA,NA,60624,4455,w,west end,ave,FALSE,FALSE,NA,,26,28,6,e022,1,11,1113,33,thursday,1146432.496,1900587.722,41.88319938,-87.73775833,"(41.883199378733764, -87.73775833429309)",356306,41.88310825,-87.73779294,0,0.41924016,-0.110079151,0.48462478,-20.18050097,needs minor repair,0.693147181,1.098612289,0,1.609437912,0.693147181,1.791759469,0.693147181,0,0,0,1.098612289,0,0.385635018,1.333538841,0.640567201,0.773736128,0.539765721,0.491676942,0.410604192,1.347102343,0.444821208,0.700369914,0.346794081,0.344636252,43.10957285,2.564949357,0,0,0,0.200298447,1,0.496558923,1,0.127029198,1,0.987672015,0.980065431,0.970141767
sr19-00042844,building violation,bba,311 city services,open,phone call,2019-01-09,01/09/2019 08:58:51 pm,,5920 n kenmore ave,NA,NA,60660,5920,n,kenmore,ave,FALSE,FALSE,NA,,77,48,2,n008,3,24,2433,16,wednesday,1168068.942,1939633.937,41.98990455,-87.65717722,"(41.989904550314066, -87.65717722299951)",853488,41.98979315,-87.6569531,0,0.394445501,2.386689482,2.48462478,41.81949903,sound,2.197224577,0.693147181,0.693147181,0,1.386294361,0,0,0,1.098612289,1.098612289,1.386294361,0,2.094579523,0.485166183,1.521748829,0.336381887,0.82244033,0.217265224,0.26611644,0.39192505,0.212357796,0.952264109,0.56859246,0.016952933,-29.89042715,0.693147181,0,3.583518938,0,0.142202517,1,0.700288303,1,0.215243998,1,0.974319988,0.990000519,0.993074726
sr19-00042846,building violation,bba,,open,web,2019-01-09,01/09/2019 08:59:25 pm,,2944 w adams st,NA,NA,NA,2944,w,adams,st,FALSE,FALSE,NA,,27,27,7,i023,2,11,1124,49,friday,1156603.608,1898951.18,41.87850878,-87.70045352,"(41.87850877672403, -87.70045352280133)",360256,41.87840831,-87.70047454,0,0.260316201,-0.302351788,0.48462478,-35.18050097,needs minor repair,0.693147181,0,0,0,0,0,0,1.098612289,1.386294361,1.098612289,0,0.693147181,0.603901862,1.196275495,0.902749039,0.769435412,0.477978126,0.416494236,0.31687851,1.219923145,0.515814366,0.906591782,0.409991132,0.240023648,34.10957285,2.079441542,0,0,0,0.232770119,1,0.549383061,1,0.175919525,1,0.991410916,0.983179104,0.98722127
sr19-00042824,building violation,bba,,completed,phone call,2019-01-09,01/16/2019 03:20:43 pm,01/16/2019 03:20:43 pm,4825 s drexel blvd,NA,NA,60615,4825,s,drexel,blvd,TRUE,FALSE,NA,sr18-00240164,39,4,9,s033,2,2,222,26,tuesday,1183214.345,1873096.708,41.8069825,-87.60355217,"(41.80698249973405, -87.60355217326055)",448387,41.80697839,-87.60369608,1,0.496579059,1.262480704,12.48462478,40.81949903,sound,0,0,1.609437912,0,2.197224577,0.693147181,0,0.693147181,1.386294361,1.386294361,0,0,0.314201619,1.083149375,0.853568801,0.80647535,0.579102281,0.248712288,0.468727005,0.727740986,0.228108904,0.437086093,0.570272259,0.089036056,-22.89042715,2.63905733,0,2.944438979,0,0.347536496,1,0.984171118,1,0.241435493,1,0.997245677,0.99904658,0.995328452
